Distance1,Beta1,Phi1,Fermi_contact1,Distance2,Beta2,Phi2,Fermi_contact2,Distance3,Beta3,Phi3,Fermi_contact3,Distance4,Beta4,Phi4,Fermi_contact4,Distance5,Beta5,Phi5,Fermi_contact5,Distance6,Beta6,Phi6,Fermi_contact6,Distance7,Beta7,Phi7,Fermi_contact7,Distance8,Beta8,Phi8,Fermi_contact8,Distance9,Beta9,Phi9,Fermi_contact9,Distance10,Beta10,Phi10,Fermi_contact10,Distance11,Beta11,Phi11,Fermi_contact11,Distance12,Beta12,Phi12,Fermi_contact12
6.9822,-0.24142,-0.42081,0.0005,5.1812,-0.53865,-0.30907,0.04088,5.5265,0.48874,-2.7888,0.02379,6.8011,0.2358,-2.5533,0.00205,4.3678,-0.22577,-1.7652,-0.00289,3.9591,-0.8033,-1.9859,0.10537,6.6101,1.1135,0.85059,-0.00075,5.2547,1.3207,-0.071532,-0.00258,4.6618,0.2682,-0.74216,-0.01466,5.9972,0.63464,-0.4864,0.00254,5.2446,-1.1835,2.8098,0.08258,7.5475,-0.99865,2.8366,0.01153
4.7147,0.33492,-2.939,0.05162,6.9704,0.25499,-2.7742,0.00977,4.5172,-0.31237,-1.8965,0.0075,4.4882,-0.78371,-2.2877,-0.02448,6.1027,1.0326,0.50433,0.05257,4.7138,1.2985,-0.28541,-0.02162,4.7294,-0.077706,-1.0592,-0.00772,5.1002,0.41865,-0.86964,-0.00238,7.617,1.2164,2.7822,0.00213,5.663,1.0289,3.1289,0.10233,5.6466,-1.1306,2.2686,0.09271,7.6264,-0.91812,2.4999,0.01462
6.9039,-0.44331,-0.38589,0.00092,5.0126,-0.68554,-0.22094,0.05817,5.3826,0.18278,-2.8584,0.01547,7.6321,0.18152,-3.0408,-0.00133,4.7511,-0.38771,-2.1048,0.00749,5.1316,-0.79962,-2.4263,0.00042,6.047,0.99742,0.029345,0.01541,4.214,1.3113,-0.26079,-0.14258,4.8896,-0.21457,-1.1356,-0.00168,4.3121,0.30104,-1.0937,0.03739,5.7913,-1.1183,1.9027,0.01106,7.4756,-0.96714,2.3481,0.00797
7.0233,-0.50929,-0.40046,0.00176,5.7755,-0.75788,-0.089001,0.02637,4.0504,-0.72939,-2.1137,0.15493,5.1382,-0.798,-2.8539,0.00181,5.7341,1.0155,-0.065291,0.14225,4.6736,1.2027,-1.0169,0.0081,4.5163,-0.42107,-1.1363,0.00096,3.5806,0.16946,-1.1721,0.0501,6.4231,1.2039,2.9568,0.02389,6.1753,0.89362,-2.8068,0.00414,5.3355,-1.1802,1.6871,0.00063,7.0802,-0.89586,1.8309,0.01303
6.3591,-0.58751,2.3358,0.00782,8.6487,-0.44434,2.2888,0.00148,5.4145,-0.14609,-2.7591,0.01076,6.5538,-0.1279,3.1324,0.0283,3.2404,-0.95851,-1.7081,2.1064,4.5629,-1.0361,-2.7807,-0.03033,5.1613,1.0756,-0.31187,0.01096,5.5876,1.235,-1.4739,-0.00441,4.7951,-0.37095,-0.82003,-0.00524,4.0322,0.18275,-0.87336,0.04458,5.4606,-1.1835,1.0581,-0.00758,6.9636,-1.0374,1.7909,0.02431
6.2842,-0.75164,2.1747,0.01389,8.1602,-0.60347,2.4188,-0.00067,5.776,0.87935,1.8352,0.05741,7.5208,0.73073,1.5642,0.00013,4.9498,-0.36691,-2.6047,0.00017,6.3828,-0.40791,-2.9977,0.0283,3.6431,-0.80253,-1.4647,0.40489,5.22,-1.208,-1.8413,-0.01647,5.1917,1.215,-1.1265,0.00304,5.9983,0.95379,-1.927,0.00086,4.8649,-0.02685,-0.7186,-0.00209,3.7158,0.54004,-0.83561,0.23385
6.2504,0.86941,1.4195,0.00327,8.6008,0.78541,1.2351,-0.00022,5.8059,-0.30473,-0.20932,0.03014,6.3332,-0.6373,0.084801,0.01472,3.7163,-0.73168,-1.8311,0.35359,4.8575,-1.2114,-2.3294,-0.02309,5.6254,1.2763,-1.0671,-0.00071,5.904,1.0161,-2.0149,0.0015,4.6681,-0.15574,-0.95325,0.06026,3.3849,0.30722,-1.1906,0.37602,5.5032,-0.85811,1.0331,-0.03024,6.8546,-1.151,1.474,0.0333
6.1694,0.69323,1.1611,0.06062,8.6386,0.76589,1.0155,0.00309,5.5945,-0.14943,-2.9408,-0.00213,6.4203,-0.03189,2.9695,-0.00968,3.566,-0.72966,-2.0893,0.69884,4.8138,-1.1442,-2.6845,-0.02786,5.796,1.4036,2.6929,0.00573,7.8719,1.2012,2.2425,0.00024,5.5534,0.95768,-0.76147,-0.00119,5.6875,0.8931,-1.5088,0.00207,4.65,-0.3997,-1.0338,0.00381,3.1903,0.15703,-0.88631,-0.45909
6.3224,-0.56062,2.4169,0.01117,8.1738,-0.42645,2.6319,0.00107,6.074,-0.376,0.1629,0.03616,6.4629,-0.62456,0.53474,0.00809,5.5355,-0.24496,-2.7413,0.00851,6.3767,-0.20024,3.1391,0.01291,3.8919,-0.61243,-1.9528,0.15626,4.5358,-1.2052,-2.2279,0.00091,5.6058,1.2831,2.7534,0.06538,8.0346,1.2035,2.4799,0.00025,4.4746,-0.24501,-0.74408,-0.00637,4.5392,0.25292,-0.46736,0.03321
8.1911,-0.43068,0.1767,0.00481,6.2106,-0.58247,0.30809,0.12716,6.0081,-0.99491,-0.33063,-0.00057,8.2706,-0.89121,-0.58327,0.00022,4.9617,-0.088064,-2.8405,0.01401,6.4589,-0.19528,3.0902,0.0117,3.4831,-0.54079,-1.3678,0.25757,3.4524,-1.2505,-1.6025,-0.78942,5.6828,1.2693,2.0282,0.00132,7.9932,1.1629,2.3516,3e-05,6.1188,-0.35638,-0.64524,-0.00028,5.0037,0.023605,-0.49703,-0.00427
