Distance1,Beta1,Phi1,Fermi_contact1,Distance2,Beta2,Phi2,Fermi_contact2,Distance3,Beta3,Phi3,Fermi_contact3,Distance4,Beta4,Phi4,Fermi_contact4,Distance5,Beta5,Phi5,Fermi_contact5,Distance6,Beta6,Phi6,Fermi_contact6
6.5587,-0.42973,-0.31009,0.00051,6.4552,0.29925,-2.7636,-0.00022,4.7283,-0.52074,-1.8528,-0.00839,5.3994,1.2576,0.92612,-0.00494,5.7309,0.39892,-0.58796,-0.00146,6.1718,-0.9856,2.6743,-0.0065
6.1145,0.27309,-2.9721,-0.00722,5.1473,-0.57135,-2.0556,-0.00355,5.2173,1.2401,0.68069,0.00071,5.3955,0.13637,-0.87996,3e-05,6.5462,1.2166,-3.0809,0.01017,6.3724,-0.91966,2.31,-0.00758
6.4612,-0.61175,-0.2268,-0.00132,6.3343,0.28274,-3.0445,-0.00011,5.4944,-0.61957,-2.1575,-0.00143,5.3581,1.1989,0.26805,0.0795,4.8957,0.029996,-0.97721,0.00387,6.1018,-0.93088,2.2178,-0.0048
6.7834,-0.60133,-0.17448,-0.00096,5.0183,-0.8913,-2.4281,-0.00121,5.1228,1.263,-0.13516,0.01203,4.278,-0.11347,-0.96843,0.06059,6.554,1.1153,-2.7847,0.00069,5.6955,-0.94261,1.9315,-0.00598
7.2743,-0.41689,2.3729,-0.0005,5.4035,-0.032831,-3.0122,0.01729,4.3379,-1.1389,-2.085,0.09907,5.1542,1.362,-0.5174,0.00155,4.4506,-0.089566,-0.68938,0.00751,5.5566,-1.0641,1.6423,0.00569
6.6772,-0.59832,2.3778,0.00338,6.0665,0.74491,1.5218,0.00966,5.4011,-0.25453,-2.8692,0.00289,4.9679,-0.97089,-1.4888,0.13968,5.8726,1.1977,-1.7587,-0.00062,4.2326,0.24188,-0.5889,5e-05
7.175,0.73928,1.25,0.00166,6.6609,-0.46364,-0.087605,-0.00021,4.854,-0.94215,-1.9635,0.03258,6.3905,1.2277,-1.764,-5e-05,3.6828,0.090332,-0.8388,-0.04045,5.4649,-1.0815,1.3071,-0.00956
7.4261,0.65215,1.0135,-0.00322,5.7545,0.050439,-3.1102,0.0021,4.5199,-1.0094,-2.0895,-0.01946,6.9923,1.2661,2.7335,-0.00079,5.9533,1.05,-1.1773,-0.00033,3.9732,-0.2112,-0.78171,0.13692
6.9836,-0.37937,2.5317,-0.00021,6.8735,-0.47095,0.3597,0.00028,5.8163,-0.089166,-2.9372,0.00135,4.1948,-0.95996,-1.7237,0.01956,7.0767,1.2403,2.8917,0.00146,4.8522,-0.061438,-0.49516,-0.00134
7.3089,-0.45131,0.3446,0.00622,7.4177,-0.90452,-0.33793,-0.00063,5.5758,-0.020721,-3.0948,0.00575,4.0423,-0.89249,-1.3762,-0.04782,6.8492,1.2821,2.5207,-0.00131,5.8002,-0.2054,-0.44717,3e-05
